,title,user_rating,critic_rating
0,beat saber,76.0,93
1,red dead redemption 2,48.0,93
2,final fantasy xiv: shadowbringers,90.0,91
3,disco elysium,83.0,91
4,tetris effect,67.0,90
5,resident evil 2,90.0,89
6,devil may cry 5,87.0,89
7,slay the spire,69.0,89
8,asgard's wrath,84.0,88
9,sekiro: shadows die twice,78.0,88
10,unity of command ii,64.0,88
11,apex legends,59.0,88
12,baba is you,78.0,87
13,f1 2019,70.0,87
14,sunless skies,68.0,86
15,valfaris,80.0,86
16,oxygen not included,81.0,86
17,control,72.0,85
18,gorn,66.0,85
19,the sims 4: realm of magic,37.0,85
20,devotion,72.0,85
21,life is strange 2: episode 5 - wolves,60.0,85
22,dragon quest builders 2,63.0,85
24,supraland,91.0,85
25,amid evil,71.0,85
26,total war: three kingdoms,78.0,85
27,outer wilds,74.0,85
28,dirt rally 2.0,46.0,84
29,the bard's tale iv: director's cut,66.0,84
30,the sims 4: island living,47.0,84
31,manifold garden,76.0,84
32,eliza,55.0,84
33,what the golf?,73.0,84
34,football manager 2020,50.0,84
35,tom clancy's the division 2,62.0,84
36,telling lies,68.0,84
37,shovel knight: king of cards,74.0,84
38,bloodstained: ritual of the night,84.0,83
39,reventure,67.0,83
40,trials rising,47.0,83
41,ape out,66.0,83
42,katana zero,89.0,83
43,age of empires ii: definitive edition,88.0,83
44,monster boy and the cursed kingdom,81.0,82
45,hypnospace outlaw,65.0,82
46,the outer worlds,74.0,82
47,the sims 4: discover university,41.0,82
48,mortal kombat 11,27.0,82
49,creature in the well,60.0,82
50,yakuza kiwami 2,85.0,82
51,metro exodus,69.0,82
52,life is strange 2: episode 4 - faith,46.0,82
53,ni no kuni: wrath of the white witch remastered,79.0,82
54,halo: reach remastered,71.0,82
55,pistol whip,60.0,82
56,wargroove,60.0,82
57,children of morta,83.0,82
58,gears 5,68.0,82
59,one finger death punch 2,83.0,82
60,islanders,82.0,82
61,world of warcraft classic,61.0,81
62,yuppie psycho,80.0,81
63,efootball pes 2020,75.0,81
64,star wars jedi: fallen order,81.0,81
66,stormland,73.0,81
68,the elder scrolls online: dragonhold,42.0,81
69,irony curtain: from matryoshka with love,77.0,81
70,unruly heroes,65.0,81
71,stygian: reign of the old ones,80.0,81
72,mordhau,82.0,81
73,borderlands 3,52.0,81
75,hunt: showdown,74.0,81
76,anno 1800,79.0,81
77,call of duty: modern warfare,25.0,81
78,age of wonders: planetfall,73.0,81
79,planet zoo,79.0,81
80,my friend pedro,80.0,81
81,trine 4: the nightmare prince,82.0,81
82,yooka-laylee and the impossible lair,70.0,81
83,a plague tale: innocence,87.0,81
84,horace,78.0,81
85,mutazione,65.0,81
86,phoenix wright: ace attorney trilogy,81.0,80
87,the elder scrolls online: elsweyr,75.0,80
88,spellforce 3: soul harvest,86.0,80
90,sid meier's civilization vi: gathering storm,66.0,80
91,the jackbox party pack 6,88.0,80
93,void bastards,77.0,80
94,wrc 8 fia world rally championship,53.0,80
95,fantasy general ii,73.0,80
96,"bury me, my love",34.0,80
97,yakuza kiwami,83.0,80
98,octopath traveler,62.0,80
99,catherine classic,79.0,80
100,dicey dungeons,72.0,80
101,when ski lifts go wrong,48.0,80
102,tales of vesperia: definitive edition,83.0,80
103,autonauts,77.0,80
104,monster energy supercross - the official videogame 2,68.0,80
105,lonely mountains: downhill,79.0,79
106,wanderlust travel stories,81.0,79
107,knights and bikes,74.0,79
108,ion fury,61.0,79
109,gato roboto,76.0,79
110,blazing chrome,70.0,79
111,detroit: become human,59.0,79
112,avicii invector,74.0,79
113,the wanderer: frankenstein's creature,82.0,79
114,life is strange 2: episode 2 - rules,50.0,79
116,atelier lulua: the scion of arland,66.0,79
117,fate/extella link,78.0,79
118,observation,74.0,79
119,dauntless,53.0,79
120,untitled goose game,61.0,79
121,arise: a simple story,77.0,79
122,druidstone: the secret of the menhir forest,70.0,79
123,descenders,62.0,78
124,angry birds vr: isle of pigs,43.0,78
125,lost ember,74.0,78
126,indivisible,65.0,78
127,a short hike,82.0,78
128,ace combat 7: skies unknown,71.0,78
130,surviving mars: green planet,40.0,78
131,life is strange 2: episode 3 - wastelands,60.0,78
132,remnant: from the ashes,68.0,78
134,tropico 6,66.0,78
135,the textorcist: the story of ray bibbia,60.0,78
136,the sojourn,62.0,78
137,forager,80.0,78
138,kingdom come: deliverance - a woman's lot,64.0,78
139,eastshade,80.0,78
140,a fisherman's tale,50.0,78
143,dark future: blood red states,60.0,78
144,vacation simulator,53.0,77
145,battlefleet gothic: armada 2,76.0,77
146,the walking dead: the telltale series - the final season episode 4: take us back,85.0,77
147,rebel galaxy outlaw,57.0,77
148,destiny 2: shadowkeep,59.0,77
149,they are billions,62.0,77
150,plants vs. zombies: battle for neighborville,40.0,77
151,blasphemous,58.0,77
152,space junkies,50.0,77
153,whispers of a machine,72.0,77
154,trover saves the universe,78.0,77
155,blood: fresh supply,82.0,77
156,assetto corsa competizione,68.0,77
157,green hell,73.0,77
158,little big workshop,66.0,77
159,darksiders genesis,81.0,77
160,operencia: the stolen sun,64.0,77
161,cat quest ii: the lupus empire,69.0,76
162,still there,81.0,76
163,driftland: the magic revival,81.0,76
165,earth defense force 5,74.0,76
166,toejam & earl: back in the groove,65.0,76
168,the surge 2,62.0,76
169,transport fever 2,73.0,76
170,neo cab,46.0,76
171,imperator: rome,46.0,76
172,heaven's vault,53.0,76
176,field of glory: empires,66.0,76
177,feudal alloy,72.0,76
178,beyond: two souls,76.0,76
179,we. the revolution,71.0,75
180,the dark pictures - man of medan,62.0,75
181,defector,36.0,75
182,god's trigger,84.0,75
183,atelier ryza: ever darkness & the secret hideout,80.0,75
184,police stories,73.0,75
185,spyro reignited trilogy,86.0,75
186,superliminal,77.0,75
187,assassin's creed iii remastered,36.0,75
188,borderlands 3: moxxi's heist of the handsome jackpot,51.0,75
189,crying suns,75.0,75
190,heavy rain,70.0,75
191,afterparty,70.0,75
192,the walking dead: the telltale series - the final season episode 3: broken toys,75.0,74
195,grid,50.0,74
196,dawn of man,67.0,74
197,phoenix point,60.0,74
198,gibbous -  a cthulhu adventure,64.0,74
199,pikuniku,64.0,74
200,the legend of bum-bo,66.0,74
202,the beast inside,76.0,74
203,nba 2k20,11.0,74
204,winds of change,79.0,74
206,john wick hex,38.0,73
207,far cry new dawn,37.0,73
208,mechwarrior 5: mercenaries,51.0,73
210,nowhere prophet,59.0,73
211,a place for the unwilling,71.0,73
212,guard duty,80.0,73
213,dead or alive 6,49.0,73
214,the eternal castle remastered,63.0,73
215,steel division 2,78.0,73
216,my time at portia,69.0,73
217,while true: learn,78.0,73
218,rage 2,54.0,73
219,draugen,69.0,73
220,wattam,62.0,73
221,minoria,69.0,73
222,code vein,77.0,73
224,the curious tale of the stolen pets,83.0,73
226,boneworks,79.0,72
228,unheard,76.0,72
229,greedfall,77.0,72
232,dark devotion,73.0,72
233,super dragon ball heroes: world mission,70.0,72
234,fifa 20,11.0,72
235,oninaki,31.0,72
236,need for speed heat,55.0,72
237,madden nfl 20,12.0,72
238,final fantasy viii remastered,51.0,71
239,shakedown hawaii,45.0,71
240,astroneer,71.0,71
241,apsulov: end of gods,67.0,71
242,god eater 3,61.0,71
244,mutant year zero: road to eden - seed of evil,56.0,71
245,rad,57.0,71
246,felix the reaper,76.0,71
247,mosaic,68.0,71
250,the sinking city,58.0,71
251,song of horror,75.0,71
252,darq,76.0,70
253,sniper ghost warrior contracts,67.0,70
254,sparklite,65.0,70
255,layers of fear 2,61.0,70
256,tiny metal: full metal rumble,72.0,70
257,mage's initiation: reign of the elements,74.0,70
259,tech support: error unknown,51.0,70
260,dangerous driving,38.0,70
261,world war z,60.0,70
262,vampire: the masquerade - coteries of new york,73.0,70
263,swords & souls: neverseen,74.0,70
264,wolfenstein: youngblood,22.0,69
265,rebel cops,67.0,69
267,sd gundam g generation cross rays,68.0,69
268,blair witch,63.0,69
270,warhammer: chaosbane,51.0,69
271,pathologic 2,85.0,69
272,tannenberg,78.0,69
274,etherborn,75.0,69
276,overland,66.0,69
277,moons of madness,54.0,69
278,night call,44.0,68
279,hearthstone: heroes of warcraft - saviors of uldum,19.0,68
280,elsinore,52.0,68
281,the hong kong massacre,54.0,68
282,pathway,65.0,68
284,splitgate: arena warfare,69.0,68
285,deliver us the moon,80.0,68
286,rain of reflections: chapter 1,78.0,68
287,the occupation,41.0,68
290,dry drowning,78.0,68
291,outward,73.0,67
292,shenmue iii,63.0,67
293,ghostbusters: the video game remastered,32.0,67
294,total war: three kingdoms - eight princes,50.0,67
295,rainswept,57.0,67
296,weedcraft inc,69.0,67
297,genesis alpha one,46.0,67
299,onimusha: warlords,65.0,67
302,outbuddies,83.0,66
303,american fugitive,68.0,66
305,truberbrook: a nerd saves the world,45.0,66
307,rage 2: rise of the ghosts,40.0,66
308,interrogation: you will be deceived,72.0,65
309,close to the sun,50.0,65
310,shovel knight showdown,70.0,65
311,blacksad: under the skin,78.0,65
312,the church in the darkness,60.0,65
313,the bradwell conspiracy,69.0,65
315,radio commander,47.0,65
317,metal wolf chaos xd,55.0,65
319,ancestors: the humankind odyssey,56.0,64
320,yiik: a postmodern rpg,29.0,64
321,xenon racer,54.0,64
323,cooking simulator,56.0,64
324,pagan online,53.0,64
325,sea of solitude,65.0,64
326,warsaw,72.0,64
327,jon shafer's at the gates,54.0,63
329,deliver us the moon: fortuna,56.0,63
331,the blackout club,73.0,63
332,vane,53.0,63
333,solseraph,55.0,63
334,198x,52.0,62
336,daymare: 1998,63.0,62
337,conan unconquered,48.0,62
338,stranger things 3: the game,44.0,62
339,kingdom under fire ii,35.0,62
340,warparty,45.0,62
341,summer catchers,83.0,61
342,sniper elite v2 remastered,39.0,61
344,medieval kingdom wars,77.0,60
345,jump force,40.0,60
347,vambrace: cold soul,49.0,59
348,terminator: resistance,82.0,59
349,crossroads inn,74.0,59
350,anthem,40.0,59
351,rico,40.0,58
352,bee simulator,56.0,58
353,vicious circle,53.0,58
354,fade to silence,47.0,57
355,little misfortune,80.0,57
356,tom clancy's ghost recon: breakpoint,23.0,57
357,forged of blood,68.0,57
359,re-legion,61.0,55
360,wolfenstein: cyberpilot,15.0,54
361,the great perhaps,67.0,54
362,crackdown 3,27.0,54
363,grimshade,60.0,54
365,bannermen,72.0,52
366,swag and sorcery,44.0,51
367,one piece: world seeker,54.0,51
370,generation zero,53.0,51
371,silver chains,48.0,51
374,"i love you, colonel sanders! a finger lickin' good dating simulator",68.0,50
375,devil's hunt,57.0,47
376,paranoia: happiness is mandatory,71.0,47
377,rune ii,52.0,47
378,everreach: project eden,43.0,46
379,narcos: rise of the cartels,34.0,45
380,wwe 2k20,11.0,43
382,supermash,40.0,40
383,left alive,86.0,40
384,eternity: the last unicorn,61.0,39
